country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",16-06-2026 12:00,22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",16-06-2026 12:00,22.368195,82.746431,SO2,12,42,14
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",16-06-2026 12:00,22.348441,82.549611,PM2.5,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",16-06-2026 12:00,22.348441,82.549611,PM10,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",16-06-2026 12:00,22.348441,82.549611,NH3,1,1,1
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",16-06-2026 12:00,22.12665,83.483212,NH3,2,2,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",16-06-2026 12:00,22.1910172,83.5197009,PM10,50,141,89
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",16-06-2026 12:00,21.258815,81.578979,NH3,3,4,4
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",16-06-2026 12:00,21.258815,81.578979,SO2,5,10,6
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",16-06-2026 12:00,21.219665,81.630094,PM2.5,23,58,39
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",16-06-2026 12:00,21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",16-06-2026 12:00,21.219665,81.630094,CO,12,34,26
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",16-06-2026 12:00,21.237755,81.705301,SO2,4,82,23
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",16-06-2026 12:00,21.237755,81.705301,OZONE,3,82,29
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",16-06-2026 12:00,21.371751,81.664929,SO2,4,39,16
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",16-06-2026 12:00,22.06631475,83.33820077,PM10,26,124,73
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",16-06-2026 12:00,22.06631475,83.33820077,OZONE,9,143,43
India,Delhi,Delhi,"Alipur, Delhi - DPCC",16-06-2026 12:00,28.815329,77.15301,NO2,17,85,45
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",16-06-2026 12:00,25.560083,87.553265,PM2.5,13,38,21
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",16-06-2026 12:00,25.560083,87.553265,NO2,8,10,9
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",16-06-2026 12:00,25.560083,87.553265,NH3,1,1,1
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",16-06-2026 12:00,26.0881305,87.93840336,PM10,52,159,83
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",16-06-2026 12:00,26.0881305,87.93840336,NO2,7,8,8
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",16-06-2026 12:00,27.308328,84.531742,NH3,1,1,1
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",16-06-2026 12:00,27.308328,84.531742,SO2,14,17,16
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",16-06-2026 12:00,27.308328,84.531742,CO,22,33,30
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",16-06-2026 12:00,26.63086,84.90051,NO2,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",16-06-2026 12:00,26.63086,84.90051,SO2,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB",16-06-2026 12:00,25.376776,86.471523,PM10,18,58,36
India,Bihar,Munger,"Town Hall, Munger - BSPCB",16-06-2026 12:00,25.376776,86.471523,CO,12,24,17
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",16-06-2026 12:00,26.1403345,85.3650192,SO2,NA,NA,NA
